Glimmerpoint Stag:W:75
Twisted Image:U:49
Slice in Twain:G:80
Barbed Battlegear:NA:54
Flameborn Hellion:R:48
Vedalken Certarch:U:45
Auriok Edgewright:W:48
Plague Stinger:B:72
True Conviction:W:83
Flesh Allergy:B:51
Darksteel Myr:NA:42
Volition Reins:U:80
Semblance Anvil:NA:28
Fume Spitter:B:61
Bleak Coven Vampires:B:58
Arrest:W:82
Sunspear Shikari:W:52
Prototype Portal:NA:48
Snapsail Glider:NA:66
Darksteel Juggernaut:NA:46
Dispense Justice:W:67
Darksteel Axe:NA:71
Vulshok Replica:NA:63
Withstand Death:G:43
Moriok Replica:NA:57
Neurok Replica:NA:66
Trinket Mage:U:56
Echo Circlet:NA:18
Glimmerpost:NA:15
Mindslaver:NA:65
Grafted Exoskeleton:NA:39
Accorder's Shield:NA:50
Bellowing Tanglewurm:G:56
Tainted Strike:B:43
Heavy Arbalest:NA:78
Auriok Replica:NA:49
Sylvok Replica:NA:73
Clone Shell:NA:66
Sword of Body and Mind:NA:92
Screeching Silcaw:U:34
Rust Tick:NA:72
Leonin Arbiter:W:40
Nim Deathmantle:NA:59
Acid Web Spider:G:77
Seachrome Coast:NA:40
Darkslick Shores:NA:40
Blackcleave Cliffs:NA:40
Molder Beast:G:66
Spikeshot Elder:R:80
Razorverge Thicket:NA:40
Copperline Gorge:NA:40
Myrsmith:W:75
Chimeric Mass:NA:79
Myr Battlesphere:NA:91
Turn to Slag:R:77
Relic Putrescence:B:20
Razorfield Thresher:NA:25
Nihil Spellbomb:NA:45
Horizon Spellbomb:NA:59
Tumble Magnet:NA:70
Flight Spellbomb:NA:55
Panic Spellbomb:NA:55
Exsanguinate:B:39
Lux Cannon:NA:75
Origin Spellbomb:NA:63
Koth of the Hammer:R:91
Livewire Lash:NA:61
Venser, the Sojourner:UW:89
Elspeth Tirel:W:91
Disperse:U:49
Painful Quandary:B:24
Chrome Steed:NA:68
Indomitable Archangel:W:87
Skithiryx, the Blight Dragon:B:92
Palladium Myr:NA:72
Contagion Engine:NA:95
Stoic Rebuttal:U:55
Soul Parry:W:45
Ezuri's Brigade:G:75
Liquimetal Coating:NA:54
Scoria Elemental:R:22
Trigon of Mending:NA:38
Molten Psyche:R:22
Saberclaw Golem:NA:51
Horrifying Revelation:B:10
Phyrexian Crusader:B:86
Mortarpod:NA:88
Steel Sabotage:U:66
Viridian Emissary:G:52
Titan Forge:NA:50
Inkmoth Nexus:NA:75
Fangren Marauder:G:83
Myr Sire:NA:52
Vivisection:U:50
Fuel for the Cause:U:28
Ichor Wellspring:NA:61
Silverskin Armor:NA:44
Lead the Stampede:G:44
Magnetic Mine:NA:30
Piston Sledge:NA:70
Phyrexian Digester:NA:43
Pistus Strike:G:43
Rusted Slasher:NA:60
Septic Rats:B:70
Darksteel Plate:NA:41
Vedalken Infuser:U:42
Scourge Servant:B:56
Plaguemaw Beast:G:51
Treasure Mage:U:71
Neurok Commando:U:42
Quilled Slagwurm:G:60
Concussive Bolt:R:33
Myr Turbine:NA:79
Tine Shrike:W:45
Flesh-Eater Imp:B:87
Divine Offering:W:77
Loxodon Partisan:W:41
Quicksilver Geyser:U:65
Gnathosaur:R:41
Training Drone:NA:30
Distant Memories:U:30
Koth's Courier:R:33
Rally the Forces:R:34
Gust-Skimmer:NA:53
Leonin Skyhunter:W:67
Burn the Impure:R:81
Viridian Corrupter:G:84
Signal Pest:NA:39
Rot Wolf:G:70
Contested War Zone:NA:40
Sphere of the Suns:NA:63
Virulent Wound:B:61
Unnatural Predation:G:41
Mirran Spy:U:48
Serum Raker:U:68
Peace Strider:NA:65
Goblin Wardriver:R:52
Glissa's Courier:G:33
Viridian Claw:NA:74
Plague Myr:NA:62
Shriekhorn:NA:15
Kuldotha Ringleader:R:49
Into the Core:R:84
Caustic Hound:B:29
Strandwalker:NA:72
Frantic Salvage:W:22
Banishment Decree:W:41
Blisterstick Shaman:R:69
Ardent Recruit:W:31
Ogre Resister:R:59
Melira's Keepers:G:67
Phyresis:B:17
Gore Vassal:W:50
Go for the Throat:B:86
Brass Squire:NA:53
Spire Serpent:U:48
Mirran Crusader:W:84
Phyrexian Rager:B:63
Copper Carapace:NA:62
Crush:R:47
Hexplate Golem:NA:45
Choking Fumes:W:49
Kuldotha Flamefiend:R:89
Metallic Mastery:R:32
Priests of Norn:W:51
Razorfield Rhino:NA:41
Nested Ghoul:B:63
Flensermite:B:45
Accorder Paladin:W:60
Mirran Mettle:G:38
Blightwidow:G:77
Turn the Tide:U:34
Core Prowler:NA:50
Golden Urn:NA:40
Hero of Oxid Ridge:R:88
Creeping Corrosion:G:68
Victory's Herald:W:86
Dross Ripper:NA:53
Praetor's Counsel:G:47
Knowledge Pool:NA:15
Oculus:U:51
Cryptoplasm:U:79
Phyrexian Juggernaut:NA:71
Thopter Assembly:NA:90
Bonehoard:NA:88
Tangle Hulk:NA:61
Shimmer Myr:NA:61
Corrupted Conscience:U:87
Massacre Wurm:B:96
Psychosis Crawler:NA:41
Phyrexian Rebirth:W:92
Bladed Sentinel:NA:34
Thrun, the Last Troll:G:85
Hellkite Igniter:R:86
Galvanoth:R:45
Slagstorm:R:85
Decimator Web:NA:48
Kemba's Legion:W:36
Lumengrid Gargoyle:NA:70
Phyrexian Hydra:G:82
Black Sun's Zenith:B:92
Sangromancer:B:81
Consecrated Sphinx:U:94
Hero of Bladehold:W:90
Tezzeret, Agent of Bolas:BU:95
Mountain:NA:1
Myr Welder:NA:43
Mirrorworks:NA:40
Spin Engine:NA:60
Sword of Feast and Famine:NA:93
Mitotic Manipulation:U:10
Glissa, the Traitor:BG:86
Gruesome Encore:B:23
Phyrexian Vatmother:B:86
Forest:NA:1
Spine of Ish Sah:NA:71
Alloy Myr:NA:75
Caged Sun:NA:50
Glistening Oil:B:72
Psychic Surgery:U:5
Jin-Gitaxias, Core Augur:U:29
Karn Liberated:NA:95
Elesh Norn, Grand Cenobite:W:96
Auriok Survivors:W:60
Sickleslicer:NA:58
Lashwrithe:NA:75
Chancellor of the Spires:U:83
Life's Finale:B:92
Exclusion Ritual:W:65
Deceiver Exarch:U:69
Necropouncer:NA:59
Sword of War and Peace:NA:90
Reaper of Sheoldred:B:78
Phyrexian Metamorph:U:83
Geth's Verdict:B:60
Urabrask the Hidden:R:90
Phyrexian Hulk:NA:45
Kiln Walker:NA:55
Volt Charge:R:81
Sheoldred, Whispering One:B:94
Blighted Agent:U:73
Phyrexian Ingester:U:91
Rage Extractor:R:45
Phyrexian Obliterator:B:79
Viridian Harvest:G:11
Grim Affliction:B:79
Viridian Betrayers:G:48
Island:NA:1
Swamp:NA:1
Plains:NA:1
Myr Propagator:NA:52
Cerebral Eruption:R:81
Hoard-Smelter Dragon:R:92
Geth, Lord of the Vault:B:93
Venser's Journal:NA:25
Engulfing Slagwurm:G:71
Asceticism:G:59
Argent Sphinx:U:86
Hand of the Praetors:B:76
Molten-Tail Masticore:NA:95
Kemba, Kha Regent:W:72
Platinum Emperion:NA:50
Kuldotha Forgemaster:NA:67
Etched Champion:NA:52
Ogre Geargrabber:R:38
Memoricide:B:10
Sunblast Angel:W:91
Myr Reservoir:NA:40
Argentum Armor:NA:69
Furnace Scamp:R:32
Shrine of Limitless Power:NA:43
Suture Priest:W:55
Shrine of Boundless Growth:NA:34
Vault Skirge:B:46
Defensive Stance:U:13
Impaler Shrike:U:71
Spined Thopter:U:67
Spellskite:NA:82
Shriek Raptor:W:66
Mycosynth Fiend:G:61
Etched Monstrosity:NA:69
Brutalizer Exarch:G:71
Blind Zealot:B:56
Argent Mutation:U:31
Vorinclex, Voice of Hunger:G:47
Geosurge:R:15
Birthing Pod:G:50
Hex Parasite:NA:69
Slag Fiend:R:67
Loxodon Convert:W:48
Phyrexia's Core:NA:39
Psychic Barrier:U:59
Vapor Snag:U:45
Shrine of Burning Rage:NA:71
Scrapyard Salvo:R:28
Chancellor of the Dross:B:85
Chancellor of the Forge:R:79
Razor Swine:R:61
Entomber Exarch:B:72
Cathedral Membrane:W:62
Leeching Bite:G:64
Priest of Urabrask:R:43
Vulshok Refugee:R:54
Mycosynth Wellspring:NA:55
Numbing Dose:U:55
Porcelain Legionnaire:W:76
Triumph of the Hordes:G:83
Whispering Specter:B:71
Praetor's Grasp:B:61
Fresh Meat:G:66
Lost Leonin:W:57
Bludgeon Brawl:R:27
Isolation Cell:NA:28
Phyrexian Unlife:W:24
Caress of Phyrexia:B:65
Chancellor of the Tangle:G:67
Ichor Explosion:B:63
Darksteel Relic:NA:10
Gremlin Mine:NA:63
Inquisitor Exarch:W:52
Dispatch:W:53
Evil Presence:B:12
Chained Throatseeker:U:61
Thundering Tanadon:G:68
Remember the Fallen:W:68
Unwinding Clock:NA:25
Artillerize:R:69
Tormentor Exarch:R:82
Chancellor of the Annex:W:81
Mindculling:U:74
Phyrexian Swarmlord:G:86
Curse of Thirst:B:16
Harvest Pyre:R:79
Ghoulraiser:B:59
Ghoulcaller's Chant:B:48
Feral Ridgewolf:R:46
Victim of Night:B:79
Travel Preparations:G:58
Frightful Delusion:U:33
Into the Maw of Hell:R:80
Kessig Wolf:R:54
Invisible Stalker:U:59
One-Eyed Scarecrow:NA:60
Silent Departure:U:73
Butcher's Cleaver:NA:55
Boneyard Wurm:G:49
Ghostly Possession:W:41
Gravepurge:B:50
Slayer of the Wicked:W:83
Phantasmal Dragon:U:75
Crimson Mage:R:61
Onyx Mage:B:71
Pride Guardian:W:42
Timely Reinforcements:W:56
Stingerfling Spider:G:74
Garruk's Horde:G:80
Arbalest Elite:W:66
Gladecover Scout:G:37
Aegis Angel:W:89
Drifting Shade:B:64
Sphinx of Uthuun:U:91
Guardians' Pledge:W:51
Druidic Satchel:NA:65
Phantasmal Image:U:73
Garruk, Primal Hunter:G:94
Furyborn Hellkite:R:79
Merfolk Mesmerist:U:52
Crumbling Colossus:NA:52
Mesa Enchantress:W:30
Tormented Soul:B:40
Bloodrage Vampire:B:50
Vampire Outcasts:B:76
Rune-Scarred Demon:B:91
Lord of the Unreal:U:41
Day of Judgment:W:88
Monomania:B:46
Aven Fleetwing:U:62
Chandra, the Firebrand:R:89
Adaptive Automaton:NA:68
Skinshifter:G:81
Doubling Chant:G:15
Skywinder Drake:U:67
Spirit Mantle:W:55
Sutured Ghoul:B:65
Stonehorn Dignitary:W:37
Manalith:NA:69
Vengeful Pharaoh:B:87
Primordial Hydra:G:90
Serra Angel:W:86
Merfolk Looter:U:81
Lifelink:W:35
Wall of Torches:R:43
Trollhide:G:50
Divination:U:59
Celestial Purge:W:51
Lurking Crocodile:G:55
Scepter of Empires:NA:39
Dungrove Elder:G:75
Amphin Cutthroat:U:47
Divine Favor:W:36
Carnage Wurm:G:68
Chasm Drake:U:71
Visions of Beyond:U:36
Blood Ogre:R:61
Angelic Destiny:W:88
Throne of Empires:NA:76
Personal Sanctuary:W:10
Gideon's Avenger:W:67
Lightning Elemental:R:41
Rusted Sentinel:NA:58
Arachnus Spinner:G:82
Jace's Archivist:U:71
Flashfreeze:U:48
Phantasmal Bear:U:59
Duskhunter Bat:B:54
Swiftfoot Boots:NA:72
Alabaster Mage:W:65
Turn to Frog:U:52
Azure Mage:U:72
Circle of Flame:R:43
Stormblood Berserker:R:59
Jade Mage:G:79
Griffin Rider:W:47
Arachnus Web:G:62
Frost Breath:U:46
Hunter's Insight:G:64
Dark Favor:B:36
Gorehorn Minotaurs:R:71
Stave Off:W:59
Greatsword:NA:59
Crown of Empires:NA:65
Chandra's Phoenix:R:75
Scrambleverse:R:10
Unsummon:U:58
Buried Ruin:NA:30
Hideous Visage:B:43
Bloodlord of Vaasgoth:B:87
Myr Galvanizer:NA:51
Angelic Overseer:W:93
Ghost Quarter:NA:28
Spectral Rider:W:60
Bloodcrazed Neonate:R:37
Smite the Monstrous:W:72
Creepy Doll:NA:84
Avacynian Priest:W:74
Prey Upon:G:64
Nightbird's Clutches:R:36
Skeletal Grimace:B:38
Unruly Mob:W:56
Cellar Door:NA:28
Dead Weight:B:78
Goblin Grenade:R:46
Phyrexian Revoker:NA:50
Stitcher's Apprentice:U:58
Typhoid Rats:B:44
Skirsdag Cultist:R:80
Sharpened Pitchfork:NA:56
Ambush Viper:G:61
Riot Devils:R:38
Cobbled Wings:NA:46
Stitched Drake:U:79
Woodland Sleuth:G:57
Deranged Assistant:U:69
Forge Devil:R:50
Ludevic's Test Subject:U:83
Trepanation Blade:NA:51
Moon Heron:U:65
Mask of Avacyn:NA:70
Goblin Piker:R:42
Goblin Chieftain:R:60
Titanic Growth:G:52
Civilized Scholar:U:81
Screeching Bat:B:76
Cloistered Youth:W:68
Midnight Haunting:W:64
Bonds of Faith:W:81
Selfless Cathar:W:39
Blazing Torch:NA:72
Graveyard Shovel:NA:20
Redirect:U:41
Deathmark:B:57
Diabolic Tutor:B:60
Angel's Feather:NA:20
Kraken's Eye:NA:20
Demon's Horn:NA:20
Dragon's Claw:NA:20
Wurm's Tooth:NA:20
Elixir of Immortality:NA:38
Gravedigger:B:79
Beast Within:G:72
Fireball:R:88
Master's Call:W:59
White Sun's Zenith:W:86
Blue Sun's Zenith:U:73
Spread the Sickness:B:83
Red Sun's Zenith:R:91
Green Sun's Zenith:G:52
Flayer Husk:NA:62
Pierce Strider:NA:67
Skinwing:NA:66
Blightsteel Colossus:NA:10
Lava Axe:R:42
Llanowar Elves:G:68
Runeclaw Bear:G:43
Naturalize:G:34
Cudgel Troll:G:76
Birds of Paradise:G:70
Grand Abolisher:W:62
Glacial Fortress:NA:40
Drowned Catacomb:NA:40
Dragonskull Summit:NA:40
Rootbound Crag:NA:40
Sunpetal Grove:NA:40
Hollowhenge Spirit:W:76
Fiend Hunter:W:83
Sensory Deprivation:U:51
Thraben Sentry:W:67
Ulvenwald Mystics:G:74
Reckless Waif:R:55
Village Ironsmith:R:52
Daybreak Ranger:G:87
Grizzled Outcasts:G:57
Spider Spawning:G:62
Soul Seizer:U:61
Tormented Pariah:R:47
Mayor of Avabruck:G:91
Silver-Inlaid Dagger:NA:65
Make a Wish:G:59
Dearly Departed:W:91
Inquisitor's Flail:NA:63
Bump in the Night:B:38
Bitterheart Witch:B:35
Blasphemous Act:R:84
Stormfront Pegasus:W:73
Armored Warhorse:W:58
Siege Mastodon:W:52
Griffin Sentinel:W:60
Spiraling Duelist:R:37
Leonin Relic-Warder:W:77
Vedalken Anatomist:U:84
Tangle Mantis:G:46
Morbid Plunder:B:70
Gravecrawler:B:62
Village Cannibals:B:60
Pitchburn Devils:R:56
Elder Cathar:W:60
Abattoir Ghoul:B:65
Skaab Goliath:U:85
Villagers of Estwald:G:63
Makeshift Mauler:U:71
Rage Thrower:R:46
Village Bell-Ringer:W:68
Moonmist:G:42
Zombie Goliath:B:48
Doom Blade:B:84
Taste of Blood:B:29
Devouring Swarm:B:61
Reassembling Skeleton:B:70
Bonebreaker Giant:R:55
Chandra's Outrage:R:78
Firebreathing:R:31
Act of Treason:R:46
Combust:R:50
Niblis of the Breath:U:87
Curse of Exhaustion:W:3
Chalice of Life:NA:30
Diregraf Ghoul:B:51
Vampire Interloper:B:72
Delver of Secrets:U:41
Falkenrath Noble:B:77
Markov Patrician:B:64
Forbidden Alchemy:U:75
Hellrider:R:92
Stromkirk Patrol:B:49
Nevermore:W:12
Night Revelers:R:47
Wooden Stake:NA:32
Curse of the Nightly Hunt:R:59
Moment of Heroism:W:44
Hollowhenge Scavenger:G:54
Purify the Grave:W:27
Bloodgift Demon:B:92
Curse of Stalked Prey:R:43
Altar's Reap:B:47
Garruk's Companion:G:64
Fog:G:33
Bountiful Harvest:G:18
Reclaim:G:37
Lure:G:40
Acidic Slime:G:77
Bloodline Keeper:B:93
Tribute to Hunger:B:71
Urgent Exorcism:W:48
Curse of the Pierced Heart:R:31
Curse of Death's Hold:B:91
Scourge of Geier Reach:R:74
Beguiler of Wills:U:61
Manor Gargoyle:NA:88
Kruin Outlaw:R:82
Unburial Rites:B:75
Kindercatch:G:50
Curse of Bloodletting:R:44
Bramblecrush:G:38
AEther Adept:U:74
Coral Merfolk:U:39
Cancel:U:47
Jace's Erasure:U:38
Moan of the Unhallowed:B:72
Rooftop Storm:U:6
Demonmail Hauberk:NA:68
Mirror-Mad Phantasm:U:81
Runic Repetition:U:25
Splinterfright:G:80
Worldslayer:NA:30
Djinn of Wishes:U:87
Gatstaf Shepherd:G:71
Instigator Gang:R:87
Ravenous Demon:B:60
Puresteel Paladin:W:57
Jor Kadeen, the Prevailer:RW:84
Hovermyr:NA:41
Ruthless Invasion:R:38
Fallen Ferromancer:R:77
Xenograft:U:19
Tezzeret's Gambit:U:78
Victorious Destruction:R:50
Charmbreaker Devils:R:89
Snapcaster Mage:U:75
Benalish Veteran:W:61
Sundial of the Infinite:NA:10
Master Thief:U:50
Gideon's Lawkeeper:W:80
Warstorm Surge:R:55
Pacifism:W:81
Goblin Fireslinger:R:49
Goblin Bangchuckers:R:35
Mindshrieker:U:89
Grave Bramble:G:41
Evil Twin:BU:84
Army of the Damned:B:77
Slash Panther:R:54
Mental Misstep:U:33
Noxious Revival:G:32
Spinebiter:G:70
Conversion Chamber:NA:58
Marrow Shards:W:40
Gut Shot:R:54
Corrosive Gale:G:46
Act of Aggression:R:86
War Report:W:21
Pith Driller:B:77
Dismember:B:89
Forced Worship:W:60
Murder of Crows:U:84
Spare from Evil:W:39
Angel of Flight Alabaster:W:91
Secrets of the Dead:U:30
Chapel Geist:W:66
Lumberknot:G:77
Thraben Purebloods:W:45
Think Twice:U:53
Curse of the Bloody Tome:U:35
Harbor Serpent:U:47
Negate:U:45
Wring Flesh:B:64
Slaughter Cry:R:47
Manic Vandal:R:48
Curiosity:U:45
Reaper from the Abyss:B:94
Galvanic Juggernaut:NA:73
Balefire Dragon:R:91
Spectral Flight:U:37
Morkrut Banshee:B:83
Crossway Vampire:R:55
Skaab Ruinator:U:90
Stromkirk Noble:R:61
Unbreathing Horde:B:67
Geist-Honored Monk:W:87
Laboratory Maniac:U:33
Nephalia Drownyard:NA:65
Grimoire of the Dead:NA:88
Skirsdag High Priest:B:85
Wing Splicer:U:77
Sensor Splicer:W:56
Maul Splicer:G:51
Surgical Extraction:B:11
Omen Machine:NA:20
Despise:B:61
Blinding Souleater:NA:80
Viral Drake:U:82
Soul Conduit:NA:16
Norn's Annex:W:46
Moltensteel Dragon:R:87
Glistener Elf:G:52
Spire Monitor:U:74
Postmortem Lunge:B:37
Batterskull:NA:95
Gitaxian Probe:U:45
Immolating Souleater:NA:44
Shattered Angel:W:78
Enslave:B:88
Master Splicer:W:76
Greenhilt Trainee:G:31
Rotted Hystrix:G:49
Death-Hood Cobra:G:49
Insatiable Souleater:NA:48
Invader Parasite:R:64
Blade Splicer:W:81
Torpor Orb:NA:18
Mutagenic Growth:G:71
Mortis Dogs:B:53
Trespassing Souleater:NA:59
Pristine Talisman:NA:59
Due Respect:W:52
Mindcrank:NA:19
Vital Splicer:G:75
Corrupted Resolve:U:40
Toxic Nim:B:48
Ogre Menial:R:58
Dementia Bat:B:42
Pestilent Souleater:NA:50
Flameborn Viron:R:47
Rampant Growth:G:64
Giant Spider:G:63
Greater Basilisk:G:67
Plummet:G:47
Honor of the Pure:W:66
Moorland Haunt:NA:76
Witchbane Orb:NA:25
Gavony Township:NA:89
Stensia Bloodhall:NA:75
Gallows Warden:W:76
Festerhide Boar:G:70
Brimstone Volley:R:80
Selhoff Occultist:U:44
Ashmouth Hound:R:51
Kessig Wolf Run:NA:85
Reverberate:R:38
Levitation:U:38
Cemetery Reaper:B:86
Thran Golem:NA:42
Incinerate:R:82
Grim Lavamancer:R:86
Fortress Crab:U:45
Endless Ranks of the Dead:B:41
Furor of the Bitten:R:37
Hysterical Blindness:U:41
Sorin's Vengeance:B:70
Traitorous Blood:R:42
Rakish Heir:R:71
Caravan Vigil:G:47
Geistcatcher's Rig:NA:80
Hamlet Captain:G:66
Child of Night:B:64
Mind Rot:B:55
Oblivion Ring:W:86
Tectonic Rift:R:54
Silverchase Fox:W:51
Gutter Grime:G:80
Orchard Spirit:G:64
Rites of Flourishing:G:40
Frost Titan:U:93
Inferno Titan:R:95
Manabarbs:R:44
Abbey Griffin:W:58
Brain Weevil:B:30
Liliana of the Veil:B:90
Ancient Grudge:R:40
Claustrophobia:U:72
Infernal Plunge:R:9
Assault Griffin:W:61
Belltower Sphinx:U:78
Mind Unbound:U:40
Call to the Grave:B:83
Goblin War Paint:R:40
Royal Assassin:B:85
Solemn Simulacrum:NA:82
Distress:B:49
Quicksilver Amulet:NA:37
Elvish Archdruid:G:63
Smallpox:B:38
Rotting Fensnake:B:39
Mulch:G:34
Somberwald Spider:G:64
Wreath of Geists:G:32
Curse of Oblivion:B:20
Battleground Geist:U:73
Mausoleum Guard:W:72
Traveler's Amulet:NA:47
Desperate Ravings:R:36
Feeling of Dread:W:44
Rally the Peasants:W:36
Ghoulcaller's Bell:NA:26
Doomed Traveler:W:52
Flight:U:30
Jace, Memory Adept:U:95
Peregrine Griffin:W:67
Demystify:W:39
Gideon Jura:W:94
Sorin Markov:B:93
Fiery Hellhound:R:55
Angel's Mercy:W:19
Roc Egg:W:51
Mind Control:U:90
Overrun:G:88
Thatcher Revolt:R:42
Renegade Demon:B:48
Avacyn, Angel of Hope:W:59
Triumph of Ferocity:G:58
Driver of the Dead:B:56
Borderland Ranger:G:74
Bladed Bracers:NA:35
Mental Agony:B:42
Spectral Prison:U:59
Elgaud Shieldmate:U:59
Ghoulflesh:B:54
Corpse Traders:B:62
Unhallowed Pact:B:38
Stonewright:R:47
Defy Death:W:54
Nettle Swine:G:52
Wingcrafter:U:45
Emancipation Angel:W:82
Gryff Vanguard:U:74
Bone Splinters:B:61
Scalding Devil:R:29
Thunderous Wrath:R:83
Spirit Away:U:92
Riot Ringleader:R:50
Tormentor's Trident:NA:41
Builder's Blessing:W:46
Angel of Glory's Rise:W:86
Midnight Duelist:W:21
Griselbrand:B:64
Goldnight Redeemer:W:82
Thunderbolt:R:39
Guise of Fire:R:48
Ghostform:U:24
Sheltering Word:G:38
Latch Seeker:U:68
Cloudshift:W:59
Dread Slaver:B:77
Dreadwaters:U:30
Grounded:G:17
Barter in Blood:B:83
Maalfeld Twins:B:71
Pillar of Flame:R:77
Banners Raised:R:10
Riders of Gavony:W:79
Abundant Growth:G:36
Zealous Strike:W:44
Searchlight Geist:B:60
Geist Snatch:U:46
Deadeye Navigator:U:86
Leap of Faith:W:36
Geist Trappers:G:51
Holy Justiciar:W:49
Craterhoof Behemoth:G:74
Somberwald Vigilante:R:33
Goldnight Commander:W:75
Conjurer's Closet:NA:39
Alchemist's Apprentice:U:40
Vigilante Justice:R:40
Sigarda, Host of Herons:GW:91
Gisela, Blade of Goldnight:RW:90
Scrapskin Drake:U:66
Spectral Gateguards:W:41
Homicidal Seclusion:B:73
Blessings of Nature:G:80
Crippling Chill:U:50
Nightshade Peddler:G:53
Timberland Guide:G:52
Joint Assault:G:44
Outwit:U:17
Wandering Wolf:G:60
Otherworld Atlas:NA:34
Hunted Ghoul:B:11
Rotcrown Ghoul:U:34
Angel's Tomb:NA:68
Demolish:R:25
Malignus:R:53
Second Guess:U:15
Trusted Forcemage:G:63
Moonsilver Spear:NA:75
Terrifying Presence:G:34
Stern Mentor:U:66
Tamiyo, the Moon Sage:U:94
Divine Deflection:W:92
Hanweir Lancer:R:47
Angelic Armaments:NA:58
Natural End:G:37
Seraph of Dawn:W:78
Fettergeist:U:81
Call to Serve:W:34
Zealous Conscripts:R:80
Lightning Prowess:R:74
Defang:W:56
Druid's Familiar:G:81
Wolfir Silverheart:G:87
Kruin Striker:R:46
Havengul Skaab:U:29
Mass Appeal:U:35
Restoration Angel:W:92
Uncanny Speed:R:35
Wildwood Geist:G:43
Thraben Valiant:W:48
Ghostly Flicker:U:35
Howlgeist:G:76
Pathbreaker Wurm:G:48
Crypt Creeper:B:46
Scroll of Avacyn:NA:27
Mad Prophet:R:64
Farbog Explorer:W:42
Kessig Malcontents:R:52
Descent into Madness:B:15
Angel of Jubilation:W:87
Fervent Cathar:R:59
Cursebreak:W:21
Evernight Shade:B:59
Rite of Ruin:R:40
Vanishment:U:76
Favorable Winds:U:40
Nearheath Pilgrim:W:72
