Consecrated Sphinx:2182
Jaddi Offshoot:1353
Inspiring Call:1350
Shriekgeist:1349
Thought Scour:1345
Pentarch Ward:1344
Bogbrew Witch:1343
Tavern Swindler:1342
Prey’s Vengeance:1341
Serum Powder:1340
Rotfeaster Maggot:1338
Emerge Unscathed:1322
Lead the Stampede:1322
Bala Ged Scorpion:1321
Dragonlord’s Servant:1321
Great Teacher’s Decree:1313
Eternal Thirst:1312
Hammerhand:1302
Haunting Hymn:1301
Festering Newt:1287
Tormenting Voice:1286
Earth Elemental:1278
Benevolent Ancestor:1264
Trumpet Blast:1253
Bewilder:1252
Mark of Mutiny:1245
Crucible of Fire:1242
Bubbling Cauldron:1241
Duress:1236
Lure:1228
Mindcrank:1225
Radiant Fountain:1224
Disenchant:1215
Runed Servitor:1213
Aerial Predation:1196
Shimmering Grotto:1163
Nature’s Claim:1137
