Resplendent Angel:2323
Suspicious Bookcase:1388
Invoke the Divine:1385
Manalith:1384
Onakke Ogre:1384
Tormenting Voice:1384
One with the Machine:1378
Meandering River:1374
Lava Axe:1369
Stone Quarry:1369
Thud:1368
Field Creeper:1367
Rupture Spire:1366
Elvish Clancaller:1365
Wall of Mist:1363
Suncleanser:1357
Highland Game:1352
Walking Corpse:1352
Fire Elemental:1351
Tectonic Rift:1348
Totally Lost:1348
Woodland Stream:1346
Trumpet Blast:1339
Millstone:1329
Crash Through:1327
Bogstomper:1326
Aegis of the Heavens:1323
Forsaken Sanctuary:1323
Apex of Power:1307
Tranquil Expanse:1304
Cinder Barrens:1296
Infernal Reckoning:1294
Revitalize:1293
Wall of Vines:1292
Detection Tower:1283
Timber Gorge:1282
Submerged Boneyard:1277
Mistcaller:1273
Ghostform:1272
Catalyst Elemental:1268
Omniscience:1267
Tolarian Scholar:1267
Stitcher's Supplier:1263
Desecrated Tomb:1258
Scapeshift:1251
Sovereign's Bite:1250
Highland Lake:1245
Infectious Horror:1241
Doublecast:1240
Fraying Omnipotence:1220
Crucible of Worlds:1209
Root Snare:1201
Smelt:1199
Reliquary Tower:1197
Foul Orchard:1190
Isolate:1139
Alpine Moon:1068
