Tenth Edition|10E|TenthEdition|
Final Fantasy|FIN|FinalFantasy|
Final Fantasy Commander|FIC|FinalFantasyCommander|
Friday Night Magic|FNMP|FridayNightMagic|
Fate Reforged|FRF|FateReforged|
Foundations|FDN|Foundations|
Foundations Jumpstart|J25|FoundationsJumpstart|
Future Sight|FUT|FutureSight|
Global Series Jiang Yanggu & Mu Yanling|GS1|GlobalSeriesJiangYangguAndMuYanling|
Guildpact|GPT|Guildpact|
Guilds of Ravnica|GRN|GuildsOfRavnica|
Grand Prix|PGPX|GrandPrixPromos|
WPN Gateway|GRC|WPNAndGatewayPromos|
Gatecrash|GTC|Gatecrash|
Guru|PGRU|Guru|
Premium Deck Series: Slivers|H09|PremiumDeckSeriesSlivers|
Homelands|HML|Homelands|
Heroes of the Realm|HOTR|HeroesOfTheRealm|
Planechase|HOP|Planechase|
Hour of Devastation|HOU|HourOfDevastation|
Ice Age|ICE|IceAge|
Iconic Masters|IMA|IconicMasters|
Ikoria: Lair of Behemoths|IKO|IkoriaLairOfBehemoths|
Invasion|INV|Invasion|
Innistrad|ISD|Innistrad|
Lorwyn Eclipsed|ECL|LorwynEclipsed|
Lorwyn Eclipsed Commander|ECC|LorwynEclipsedCommander|
The Lost Caverns of Ixalan|LCI|TheLostCavernsOfIxalan|
The Lost Caverns of Ixalan Commander|LCC|TheLostCavernsOfIxalanCommander|
Innistrad: Midnight Hunt|MID|InnistradMidnightHunt|
Midnight Hunt Commander|MIC|MidnightHuntCommander|
Innistrad: Crimson Vow|VOW|InnistradCrimsonVow|
Crimson Vow Commander|VOC|CrimsonVowCommander|
Journey into Nyx|JOU|JourneyIntoNyx|
Judge Promo|JR|JudgePromo|
Judgment|JUD|Judgment|
Jumpstart|JMP|Jumpstart|
Jumpstart: Historic Horizons|J21|JumpstartHistoricHorizons|
Jumpstart 2022|J22|Jumpstart2022|
Kaladesh|KLD|Kaladesh|
Kaldheim|KHM|Kaldheim|
Kaldheim Commander|KHC|KaldheimCommander|
Kamigawa: Neon Dynasty|NEO|KamigawaNeonDynasty|
Neon Dynasty Commander|NEC|NeonDynastyCommander|
Khans of Tarkir|KTK|KhansOfTarkir|
Limited Edition Alpha|LEA|LimitedEditionAlpha|
Limited Edition Beta|LEB|LimitedEditionBeta|
Legends|LEG|Legends|
Legions|LGN|Legions|
The Lord of the Rings: Tales of Middle-earth|LTR|TheLordOfTheRingsTalesOfMiddleEarth|
Tales of Middle-earth Commander|LTC|TalesOfMiddleEarthCommander|
Lorwyn|LRW|Lorwyn|
Magic 2010|M10|Magic2010|
Magic 2011|M11|Magic2011|
Magic 2012|M12|Magic2012|
Magic 2013|M13|Magic2013|
Magic 2014|M14|Magic2014|
Magic 2015|M15|Magic2015|
Core Set 2019|M19|CoreSet2019|
Core Set 2020|M20|CoreSet2020|
Core Set 2021|M21|CoreSet2021|
Masters 25|A25|Masters25|
Media Inserts|MBP|MediaInserts|
Marvel Super Heroes|MSH|MarvelSuperHeroes|
Marvel Super Heroes Commander|MSC|MarvelSuperHeroesCommander|
Marvel's Spider-Man|SPM|MarvelsSpiderMan|
Marvel's Spider-Man Eternal|SPE|MarvelsSpiderManEternal|
March of the Machine|MOM|MarchOfTheMachine|
March of the Machine Commander|MOC|MarchOfTheMachineCommander|
March of the Machine: The Aftermath|MAT|MarchOfTheMachineTheAftermath|
Mirrodin Besieged|MBS|MirrodinBesieged|
Masters Edition II|ME2|MastersEditionII|
Masters Edition III|ME3|MastersEditionIII|
Masters Edition IV|ME4|MastersEditionIV|
Masters Edition|MED|MastersEdition|
Game Day|MGDC|GameDay|
Game Night|GNT|GameNight|
Game Night 2019|GN2|GameNight2019|
Game Night: Free-for-All|GN3|GameNightFreeForAll|
Mirage|MIR|Mirage|
Launch Party|MLP|LaunchParty|
Modern Horizons|MH1|ModernHorizons|
Modern Horizons 2|MH2|ModernHorizons2|
Modern Horizons 3|MH3|ModernHorizons3|
Modern Horizons 3 Commander|M3C|ModernHorizons3Commander|
Modern Masters 2015|MM2|ModernMasters2015|
Modern Masters 2017|MM3|ModernMasters2017|
Modern Masters|MMA|ModernMasters|
Mercadian Masques|MMQ|MercadianMasques|
Morningtide|MOR|Morningtide|
Magic Player Rewards|MPRP|MagicPlayerRewards|
Masterpiece Series|MPS|MasterpieceSeries|
Masterpiece Series Amonkhet||MasterpieceSeriesAmonkhet|
Mirrodin|MRD|Mirrodin|
Murders at Karlov Manor|MKM|MurdersAtKarlovManor|
Murders at Karlov Manor Commander|MKC|MurdersAtKarlovManorCommander|
Mystery Booster 2|MB2|MysteryBooster2|
Ravnica: Clue Edition|CLU|RavnicaClueEdition|
Nemesis|NEM|Nemesis|
New Phyrexia|NPH|NewPhyrexia|
Odyssey|ODY|Odyssey|
Oath of the Gatewatch|OGW|OathOfTheGatewatch|
Onslaught|ONS|Onslaught|
Outlaws of Thunder Junction|OTJ|OutlawsOfThunderJunction|
Outlaws of Thunder Junction Commander|OTC|OutlawsOfThunderJunctionCommander|
The Big Score|BIG|TheBigScore|
Magic Origins|ORI|MagicOrigins|
Phyrexia: All Will Be One|ONE|PhyrexiaAllWillBeOne|
Phyrexia: All Will Be One Commander|ONC|PhyrexiaAllWillBeOneCommander|
Portal Second Age|P02|PortalSecondAge|
Planechase 2012|PC2|Planechase2012Edition|
Planechase Anthology|PCA|PlanechaseAnthology|
Prophecy|PCY|Prophecy|
Premium Deck Series: Fire and Lightning|PD2|PremiumDeckSeriesFireAndLightning|
Premium Deck Series: Graveborn|PD3|PremiumDeckSeriesGraveborn|
Planar Chaos|PLC|PlanarChaos|
Planeshift|PLS|Planeshift|
Portal|POR|Portal|
Prerelease Events|PPRE|PrereleaseEvents|
Pro Tour Promos|PPRO|ProTourPromos|
Portal Three Kingdoms|PTK|PortalThreeKingdoms|
Ravnica Allegiance|RNA|RavnicaAllegiance|
Ravnica: City of Guilds|RAV|RavnicaCityOfGuilds|
Reality Fracture|FRA|RealityFracture|
Jurassic World Collection|REX|JurassicWorldCollection|
Rivals of Ixalan|RIX|RivalsOfIxalan|
Rise of the Eldrazi|ROE|RiseOfTheEldrazi|
Return to Ravnica|RTR|ReturnToRavnica|
Sega Dreamcast Cards|PSDG|SegaDreamcastCards|
Starter 2000|S00|Starter2000|
Starter 1999|S99|Starter1999|
Starter Commander Decks|SCD|StarterCommanderDecks|
Strixhaven: School of Mages|STX|StrixhavenSchoolOfMages|
Secrets of Strixhaven|SOS|SecretsOfStrixhaven|
Secrets of Strixhaven Commander|SOC|SecretsOfStrixhavenCommander|
Scourge|SCG|Scourge|
Secret Lair Drop|SLD|SecretLairDrop|
Secret Lair Promo|SLP|SecretLairPromo|
Shadowmoor|SHM|Shadowmoor|
Shadows over Innistrad|SOI|ShadowsOverInnistrad|
Saviors of Kamigawa|SOK|SaviorsOfKamigawa|
Scars of Mirrodin|SOM|ScarsOfMirrodin|
Streets of New Capenna|SNC|StreetsOfNewCapenna|
New Capenna Commander|NCC|NewCapennaCommander|
Stronghold|STH|Stronghold|
Special Guests|SPG|SpecialGuests|
Super Series|SUS|SuperSeries|
Tarkir: Dragonstorm|TDM|TarkirDragonstorm|
Tarkir: Dragonstorm Commander|TDC|TarkirDragonstormCommander|
Teenage Mutant Ninja Turtles|TMT|TeenageMutantNinjaTurtles|
Teenage Mutant Ninja Turtles Eternal|TMC|TeenageMutantNinjaTurtlesEternal|
Theros|THS|Theros|
Theros Beyond Death|THB|TherosBeyondDeath|
The Brothers' War|BRO|TheBrothersWar|
The Brothers' War Commander|BRC|TheBrothersWarCommander|
Tempest|TMP|Tempest|
Throne of Eldraine|ELD|ThroneOfEldraine|
Torment|TOR|Torment|
Tempest Remastered|TPR|TempestRemastered|
Time Spiral Timeshifted|TSB|TimeSpiralTimeshifted|
Time Spiral|TSP|TimeSpiral|
Transformers|BOT|Transformers|
Urza's Destiny|UDS|UrzasDestiny|
Ugin's Fate|UGIN|UginsFate|
Unglued|UGL|Unglued|
Urza's Legacy|ULG|UrzasLegacy|
Unhinged|UNH|Unhinged|
Unfinity|UNF|Unfinity|
Urza's Saga|USG|UrzasSaga|
Unstable|UST|Unstable|
HasCon 2017|H17|HASCONPromo2017|
From the Vault: Exiled|V09|FromTheVaultExiled|
From the Vault: Relics|V10|FromTheVaultRelics|
From the Vault: Legends|V11|FromTheVaultLegends|
From the Vault: Realms|V12|FromTheVaultRealms|
From the Vault: Twenty|V13|FromTheVaultTwenty|
From the Vault: Annihilation|V14|FromTheVaultAnnihilation|
From the Vault: Angels|V15|FromTheVaultAngels|
From the Vault: Lore|V16|FromTheVaultLore|
From the Vault: Transform|V17|FromTheVaultTransform|
MTGO Vanguard|VGO||
Vanguard Set 1|VG1||
Vanguard Set 2|VG2||
Vanguard Set 3|VG3||
Vanguard Set 4|VG4||
Visions|VIS|Visions|
Vintage Masters|VMA|VintageMasters|
War of the Spark|WAR|WarOfTheSpark|
Welcome Deck 2016|W16|WelcomeDeck2016|
Welcome Deck 2017|W17|WelcomeDeck2017|
Weatherlight|WTH|Weatherlight|
Wilds of Eldraine|WOE|WildsOfEldraine|
Wilds of Eldraine Commander|WOC|WildsOfEldraineCommander|
World Magic Cup Qualifiers|WMC|WorldMagicCupQualifiers|
World Magic Cup Qualifier|WMC|WorldMagicCupQualifiers|
Worldwake|WWK|Worldwake|
Ixalan|XLN|Ixalan|
Zendikar|ZEN|Zendikar|
Zendikar Rising|ZNR|ZendikarRising|
Zendikar Rising Commander|ZNC|ZendikarRisingCommander|
Star Wars|SWS|StarWars|
Happy Holidays|HHO|HappyHolidays|
Warhammer 40,000 Commander|40K|Warhammer40000Commander|
Champs and States|PCMP|ChampsAndStates|
Champs|PCMP|ChampsAndStates|
