Vraska, Relic Seeker:2381
Hostage Taker:2336
Headstrong Brute:1643
Fathom Fleet Firebrand:1641
Colossal Dreadmaw:1637
Vicious Conquistador:1636
Bloodcrazed Paladin:1635
Bellowing Aegisaur:1629
Tishana, Voice of Thunder:1628
Kopala, Warden of Waves:1626
New Horizons:1624
Deadeye Tormentor:1621
Marauding Looter:1621
Kumena’s Speaker:1619
Vampire’s Zeal:1618
Duskborne Skymarcher:1616
Ixalli’s Diviner:1616
Ravenous Daggertooth:1615
Angrath’s Marauders:1613
Perilous Voyage:1613
Slash of Talons:1613
Shaper Apprentice:1612
Wildgrowth Walker:1609
Storm Fleet Spy:1607
Sailor of Means:1605
Bonded Horncrest:1600
Grazing Whiptail:1597
Thaumatic Compass:1596
Thrash of Raptors:1594
Legion’s Judgment:1591
Queen’s Commission:1590
Deeproot Champion:1587
Steadfast Armasaur:1581
River Heralds’ Boon:1579
Rigging Runner:1575
Goring Ceratops:1572
Skittering Heartstopper:1572
Storm Fleet Arsonist:1571
Dire Fleet Hoarder:1569
Commune with Dinosaurs:1566
Atzocan Archer:1562
River Sneak:1562
Skyblade of the Legion:1560
Run Aground:1558
Anointed Deacon:1557
Pterodon Knight:1557
Mark of the Vampire:1555
Fathom Fleet Cutthroat:1552
Prosperous Pirates:1549
Shipwreck Looter:1546
Arguel’s Blood Fast:1536
Wind Strider:1535
Legion Conquistador:1533
Depths of Desire:1531
Ruthless Knave:1531
Sunbird’s Invocation:1531
Growing Rites of Itlimoc:1525
Lookout’s Dispersal:1525
Lightning-Rig Crew:1517
Sure Strike:1517
Boneyard Parley:1515
Dusk Legion Dreadnought:1515
Priest of the Wakening Sun:1514
Brazen Buccaneers:1513
Star of Extinction:1513
Raptor Companion:1511
Rallying Roar:1505
Heartless Pillage:1501
Sleek Schooner:1500
Fleet Swallower:1498
Ixalli’s Keeper:1497
Dive Down:1496
Sheltering Light:1492
Sun-Crowned Hunters:1483
Cobbled Wings:1474
Dire Fleet Interloper:1473
Lurking Chupacabra:1465
Storm Fleet Pyromancer:1463
Dowsing Dagger:1456
Shadowed Caravel:1455
Spike-Tailed Ceratops:1455
Kinjalli’s Caller:1454
Deeproot Waters:1452
Rootbound Crag:1451
Verdant Rebirth:1451
Storm Sculptor:1448
Frenzied Raptor:1446
Opt:1440
Jungle Delver:1438
Sword-Point Diplomacy:1438
Nest Robber:1436
Tilonalli’s Skinshifter:1434
Siren’s Ruse:1433
Crushing Canopy:1431
Dinosaur Stampede:1429
Overflowing Insight:1425
Swashbuckling:1418
Crash the Ramparts:1413
Sunpetal Grove:1412
Favorable Winds:1406
Shapers’ Sanctuary:1406
Queen’s Bay Soldier:1405
Deadeye Quartermaster:1401
Queen’s Agent:1397
Dual Shot:1396
Pirate’s Prize:1394
March of the Drowned:1387
Blossom Dryad:1385
Drowned Catacomb:1383
Tocatli Honor Guard:1373
Dragonskull Summit:1372
Raiders’ Wake:1371
Spell Swindle:1368
Sunrise Seeker:1361
Desperate Castaways:1342
Prying Blade:1338
Sorcerous Spyglass:1334
Blight Keeper:1330
Costly Plunder:1310
Primal Amulet:1306
Unclaimed Territory:1306
Fire Shrine Keeper:1301
Imperial Lancer:1297
Belligerent Brontodon:1296
Emergent Growth:1293
Wily Goblin:1293
Cancel:1287
Duress:1286
Old-Growth Dryads:1282
Navigator’s Ruin:1273
Glacial Fortress:1262
Trove of Temptation:1259
Pillar of Origins:1252
Hijack:1236
Rile:1234
Revel in Riches:1232
Headwater Sentries:1225
Grim Captain’s Call:1214
Elaborate Firecannon:1209
Looming Altisaur:1206
Encampment Keeper:1199
Slice in Twain:1198
Spell Pierce:1186
Makeshift Munitions:1183
Rummaging Goblin:1182
Axis of Mortality:1179
Unknown Shores:1173
Shore Keeper:1172
Ancient Brontodon:1165
Sanguine Sacrament:1162
Arcane Adaptation:1151
Ashes of the Abhorrent:1135
Ritual of Rejuvenation:1102
Field of Ruin:1097
Hierophant’s Chalice:1077
Gilded Sentinel:1035
Blinding Fog:1033
Demystify:1023
Sentinel Totem:998
Demolish:994
Spreading Rot:935
