Sword of Feast and Famine:100
Chandra, Torch of Defiance:99
Skysovereign, Consul Flagship:98
Noxious Gearhulk:97
Hunt the Weak:68
Veteran Motorist:68
Voltaic Brawler:68
Lightning Greaves:68
Dynavolt Tower:68
Scroll Rack:67
Padeem, Consul of Innovation:67
Shrewd Negotiation:67
Propeller Pioneer:67
Kambal, Consul of Allocation:67
Malfunction:66
Brazen Scourge:66
Chrome Mox:66
Ballista Charger:66
Sculpting Steel:66
Glint-Sleeve Artisan:66
Gearseeker Serpent:65
Glint-Nest Crane:65
Armorcraft Judge:65
Thriving Grubs:65
Sky Skiff:65
Speedway Fanatic:64
Riparian Tiger:64
Underhanded Designs:64
Kujar Seedsculptor:64
Maulfist Doorbuster:64
Subtle Strike:64
Mind's Eye:63
Impeccable Timing:63
Spontaneous Artist:63
Foundry Screecher:63
Elegant Edgecrafters:63
Weaponcraft Enthusiast:62
Contraband Kingpin:62
Consul's Shieldguard:62
Glimmer of Genius:62
Eliminate the Competition:62
Metalwork Colossus:62
Aetherworks Marvel:61
Aviary Mechanic:61
Aether Hub:61
Fateful Showdown:61
Prophetic Prism:61
Experimental Aviator:60
Metallurgic Summonings:60
Aether Theorist:60
Rings of Brighthearth:60
Toolcraft Exemplar:60
Attune with Aether:60
Thriving Ibex:59
Narnam Cobra:59
Quicksmith Genius:59
Fabrication Module:59
Lotus Petal:59
Thriving Rats:58
Insidious Will:58
Embraal Bruiser:58
Maulfist Squad:58
Dhund Operative:58
Cloudstone Curio:58
Salivating Gremlins:57
Janjeet Sentry:57
Static Orb:57
Era of Innovation:57
Fairgrounds Trumpeter:57
Wind Drake:56
Lawless Broker:56
Ovalchase Dragster:56
Fragmentize:56
Blossoming Defense:56
Built to Last:56
Territorial Gorger:55
Skyswirl Harrier:55
Rush of Vitality:55
Wild Wanderer:55
Deadlock Trap:55
Spireside Infiltrator:54
Durable Handicraft:54
Prakhata Pillar-Bug:54
Dukhara Peafowl:54
Sage of Shaila's Claim:54
Incendiary Sabotage:54
Weldfast Monitor:53
Trusty Companion:53
Iron League Steed:53
Spark of Creativity:53
Self-Assembler:53
Make Obsolete:52
Select for Inspection:52
Live Fast:52
Ambitious Aetherborn:52
Thriving Turtle:52
Nimble Innovator:51
Eager Construct:51
Servo Exhibition:51
Appetite for the Unnatural:51
Midnight Oil:51
Eddytrail Hawk:50
Æther Tradewinds:50
Reckless Fireweaver:50
Weldfast Wingsmith:50
Ghirapur Guide:50
Electrostatic Pummeler:49
Painter's Servant:49
Bastion Mastodon:49
Highspire Artisan:49
Cathartic Reunion:49
Wayward Giant:48
Acrobatic Maneuver:48
Crucible of Worlds:48
Built to Smash:48
Prakhata Club Security:47
Vedalken Blademaster:47
Panharmonicon:47
Decoction Module:47
Inventor's Apprentice:47
Fretwork Colony:46
Hightide Hermit:46
Spirebluff Canal:46
Botanical Sanctum:46
Blooming Marsh:45
Whirlermaker:45
Concealed Courtyard:45
Wildest Dreams:45
Tezzeret's Ambition:44
Ninth Bridge Patrol:44
Metalspinner's Puzzleknot:44
Inspiring Vantage:44
Ruinous Gremlin:43
Inventors' Fair:43
Herald of the Fair:43
Hazardous Conditions:43
Glassblower's Puzzleknot:42
Hijack:42
Engineered Might:42
Bomat Courier:42
Night Market Lookout:41
Inventor's Goggles:41
Cowl Prowler:41
Dukhara Scavenger:41
Ornamental Courage:40
Fortuitous Find:40
Demolition Stomper:40
Cogworker's Puzzleknot:39
Creeping Mold:39
Aradara Express:39
Minister of Inquiries:38
Harsh Scrutiny:38
Accomplished Automaton:38
Woodweaver's Puzzleknot:37
Failed Inspection:37
Diabolic Tutor:37
Consulate Skygate:36
Refurbish:36
Disappearing Act:36
Pressure Point:35
Authority of the Consuls:35
Workshop Assistant:34
Inspired Charge:34
Take Down:34
Renegade Tactics:33
Larger Than Life:33
Revolutionary Rebuff:32
Ceremonious Rejection:32
Torch Gauntlet:31
Fireforger's Puzzleknot:31
Morbid Curiosity:30
Ghirapur Orrery:30
Paradoxical Outcome:29
Curio Vendor:28
Aetherflux Reservoir:28
Start Your Engines:27
Terror of the Fairgrounds:26
Demolish:26
Wily Bandar:25
Consulate Surveillance:24
Giant Spectacle:23
Mind Rot:22
Lost Legacy:21
Commencement of Festivities:20
Sequestered Stash:18
Madcap Experiment:16
Tasseled Dromedary:14
Dramatic Reversal:11
Perpetual Timepiece:6
Dubious Challenge:0
